customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,charge_per_tenure,Churn
7639-LIAYI,52,1,2,3,79.75,4217.8,81.11153846153846,0
2954-PIBKO,69,1,2,3,64.15,4254.1,61.6536231884058,0
8012-SOUDQ,43,1,0,0,90.25,3838.75,89.27325581395348,0
9420-LOJKX,15,1,0,3,99.1,1426.4,95.09333333333333,1
6575-SUVOI,25,1,0,3,69.5,1752.65,70.10600000000001,0
7495-OOKFY,8,1,0,3,80.65,633.3,79.1625,1
4667-QONEA,60,1,1,3,74.85,4456.35,74.27250000000001,0
1658-BYGOY,18,1,0,0,95.45,1752.55,97.36388888888888,1
8769-KKTPH,63,1,1,3,99.65,6311.2,100.17777777777778,0
5067-XJQFU,66,1,1,0,108.45,7076.35,107.21742424242424,0
3957-SQXML,34,1,2,3,24.95,894.3,26.302941176470586,0
5954-BDFSG,72,1,2,3,107.5,7853.7,109.07916666666667,0
0434-CSFON,47,1,0,0,100.5,4707.1,100.15106382978725,0
1215-FIGMP,60,1,0,2,89.9,5450.7,90.845,0
0526-SXDJP,72,0,2,2,42.1,2962.0,41.138888888888886,0
0557-ASKVU,18,1,1,3,54.4,957.1,53.172222222222224,0
5698-BQJOH,9,1,0,0,94.4,857.25,95.25,1
5122-CYFXA,3,1,0,0,75.3,244.1,81.36666666666666,0
8627-ZYGSZ,47,1,1,0,78.9,3650.35,77.66702127659575,0
3410-YOQBQ,31,1,2,1,79.2,2497.2,80.55483870967741,0
3170-NMYVV,50,1,2,2,20.15,930.9,18.618,0
7410-OIEDU,10,1,0,1,79.85,887.35,88.735,0
2273-QCKXA,1,1,0,1,49.05,49.05,49.05,0
0731-EBJQB,52,1,1,0,20.4,1090.65,20.974038461538463,0
1891-QRQSA,64,1,2,2,111.6,7099.0,110.921875,0
8028-PNXHQ,62,1,2,2,24.25,1424.6,22.97741935483871,0
5630-AHZIL,3,1,0,2,64.5,177.4,59.13333333333333,0
2673-CXQEU,56,1,1,0,110.5,6139.5,109.63392857142857,0
6416-JNVRK,46,1,1,3,55.65,2688.85,58.45326086956521,0
5590-ZSKRV,8,1,0,1,54.65,482.25,60.28125,0
0191-ZHSKZ,30,1,0,0,74.75,2111.3,70.37666666666668,0
3887-PBQAO,45,1,1,3,25.9,1216.6,27.035555555555554,0
5919-TMRGD,1,1,0,0,79.35,79.35,79.35,1
8108-UXRQN,11,0,0,0,50.55,565.35,51.39545454545455,0
9191-MYQKX,7,1,0,2,75.15,496.9,70.98571428571428,1
9919-YLNNG,42,1,0,2,103.8,4327.5,103.03571428571429,0
0318-ZOPWS,49,1,2,2,20.15,973.35,19.864285714285714,0
4445-ZJNMU,9,1,0,3,99.3,918.75,102.08333333333333,0
4808-YNLEU,35,1,1,2,62.15,2215.45,63.29857142857142,0
1862-QRWPE,48,1,2,2,20.65,1057.0,22.020833333333332,0
2796-NNUFI,46,1,2,1,19.95,927.1,20.15434782608696,0
3016-KSVCP,29,0,0,1,33.75,1009.25,34.80172413793103,0
4767-HZZHQ,30,1,0,2,82.05,2570.2,85.67333333333333,0
2424-WVHPL,1,1,0,0,74.7,74.7,74.7,0
7233-PAHHL,66,1,2,1,84.0,5714.25,86.57954545454545,0
6067-NGCEU,65,1,0,3,111.05,7107.0,109.33846153846154,0
9848-JQJTX,72,1,2,2,100.9,7459.05,103.59791666666666,0
8637-XJIVR,12,1,0,0,78.95,927.35,77.27916666666667,1
9803-FTJCG,71,1,1,3,66.85,4748.7,66.8830985915493,0
0278-YXOOG,5,1,0,1,21.05,113.85,22.77,1
3212-KXOCR,52,1,2,2,21.0,1107.2,21.292307692307695,0
4598-XLKNJ,25,1,0,0,98.5,2514.5,100.58,1
6380-ARCEH,1,1,0,1,20.2,20.2,20.2,0
3679-XASPY,1,1,0,0,19.45,19.45,19.45,0
7123-WQUHX,38,1,1,2,95.0,3605.6,94.88421052631578,0
5386-THSLQ,66,0,1,2,45.55,3027.25,45.86742424242424,0
3192-NQECA,68,1,2,2,110.0,7611.85,111.93897058823529,1
6180-YBIQI,5,0,0,1,24.3,100.2,20.04,0
6728-DKUCO,72,1,1,0,104.15,7303.05,101.43125,0
9750-BOOHV,32,0,1,1,30.15,927.65,28.9890625,0
8597-CWYHH,43,1,1,1,94.35,3921.3,91.19302325581396,0
2848-YXSMW,72,1,2,3,19.4,1363.25,18.93402777777778,0
0486-HECZI,55,1,0,0,96.75,5238.9,95.25272727272727,1
4549-ZDQYY,52,1,1,3,57.95,3042.25,58.50480769230769,0
5712-AHQNN,43,1,0,0,91.65,3954.1,91.95581395348837,0
4846-WHAFZ,37,1,0,0,76.5,2868.15,77.51756756756757,1
5256-SKJGO,64,0,2,0,54.6,3423.5,53.4921875,0
3071-VBYPO,3,1,0,0,89.85,248.4,82.8,0
9560-BBZXK,36,0,2,2,31.05,1126.35,31.287499999999998,0
5299-RULOA,10,1,0,0,100.25,1064.65,106.465,1
8402-OOOHJ,41,1,2,1,20.65,835.15,20.36951219512195,0
9445-ZUEQE,27,1,0,3,85.2,2151.6,79.68888888888888,0
1091-SOZGA,56,1,1,3,99.8,5515.45,98.49017857142857,0
2928-HLDBA,6,1,0,1,20.7,112.75,18.791666666666668,0
0404-SWRVG,3,1,0,0,74.4,229.55,76.51666666666667,1
6497-TILVL,7,1,0,1,50.7,350.35,50.050000000000004,0
7219-TLZHO,4,1,0,1,20.85,62.9,15.725,0
4622-YNKIJ,33,1,2,0,88.95,3027.65,91.7469696969697,0
4412-YLTKF,27,1,0,0,78.05,2135.5,79.0925925925926,1
6734-PSBAW,72,1,2,2,23.55,1723.95,23.94375,0
3930-ZGWVE,1,1,0,1,19.75,19.75,19.75,0
2639-UGMAZ,71,0,1,0,56.45,3985.35,56.131690140845066,0
2876-GZYZC,13,1,0,0,85.95,1215.65,93.51153846153846,0
6207-WIOLX,25,0,0,3,58.6,1502.65,60.106,1
8587-XYZSF,67,1,2,2,50.55,3260.1,48.65820895522388,0
3091-FYHKI,1,0,0,0,35.45,35.45,35.45,1
2372-HWUHI,2,1,0,0,44.35,81.25,40.625,1
7799-LGRDP,43,1,2,3,25.7,1188.2,27.632558139534886,0
7850-VWJUU,23,1,0,2,75.0,1778.5,77.32608695652173,0
3774-VBNXY,64,1,2,1,20.2,1277.75,19.96484375,0
6217-KDYWC,57,1,2,1,19.6,1170.55,20.5359649122807,0
0390-DCFDQ,1,1,0,1,70.45,70.45,70.45,1
3146-MSEGF,72,1,2,3,88.05,6425.65,89.24513888888889,0
4080-OGPJL,8,1,0,0,71.15,563.65,70.45625,1
1095-WGNGG,61,1,2,2,101.05,5971.25,97.88934426229508,0
2636-SJDOU,64,1,1,3,84.3,5289.05,82.64140625,0
1131-QQZEB,71,1,2,2,23.95,1756.2,24.735211267605635,0
5716-EZXZN,65,1,2,3,99.05,6416.7,98.71846153846154,0
6837-BJYDQ,3,1,1,1,19.6,61.35,20.45,0
2135-RXIHG,1,1,0,0,45.65,45.65,45.65,1
6440-DKQGE,30,1,1,3,64.5,1929.95,64.33166666666666,0
3466-BYAVD,15,1,0,1,69.5,1071.4,71.42666666666668,0
3780-YVMFA,8,1,0,0,68.55,564.35,70.54375,0
3874-EQOEP,7,1,0,1,95.0,655.5,93.64285714285714,1
1679-JRFBR,70,1,1,3,108.15,7930.55,113.29357142857143,0
9073-ZZIAY,62,1,2,0,86.1,5215.25,84.11693548387096,0
3077-RSNTJ,6,1,0,1,19.7,113.5,18.916666666666668,0
6551-GNYDG,14,1,0,2,80.9,1152.8,82.34285714285714,0
9167-APMXZ,22,1,0,2,84.15,1821.95,82.81590909090909,0
2749-CTKAJ,22,1,1,1,20.15,419.9,19.086363636363636,0
6371-NZYEG,16,1,2,1,64.25,1024.0,64.0,0
7554-NEWDD,10,1,2,2,25.7,251.6,25.16,0
8992-VONJD,13,1,0,0,56.0,764.55,58.81153846153846,0
0867-MKZVY,20,1,0,0,82.4,1592.35,79.61749999999999,1
4482-EWFMI,2,1,0,0,69.7,135.2,67.6,0
4648-YPBTM,53,1,2,2,73.9,3958.25,74.68396226415095,0
2907-ILJBN,11,1,1,1,20.6,233.9,21.263636363636365,0
6345-FZOQH,69,1,2,1,19.9,1363.45,19.76014492753623,0
3376-BMGFE,4,1,0,2,70.9,273.0,68.25,1
5997-OPVFA,72,1,2,2,89.05,6254.45,86.86736111111111,0
3445-HXXGF,58,0,0,0,45.3,2651.2,45.710344827586205,1
1159-WFSGR,16,1,0,0,20.4,321.4,20.0875,0
7654-YWJUF,43,1,1,2,84.25,3539.25,82.30813953488372,0
1875-QIVME,2,1,0,0,104.4,242.8,121.4,1
6727-IOTLZ,14,1,2,1,81.95,1181.75,84.41071428571429,0
0691-JVSYA,53,1,1,2,94.85,5000.2,94.3433962264151,1
5918-VUKWP,32,1,1,2,20.55,654.55,20.4546875,0
1744-JHKYS,34,1,0,0,24.7,780.2,22.947058823529414,0
2656-FMOKZ,15,1,0,1,74.45,1145.7,76.38000000000001,1
2070-FNEXE,7,1,0,2,76.45,503.6,71.94285714285715,1
5947-SGKCL,15,1,0,2,105.35,1559.25,103.95,0
3712-PKXZA,61,1,1,3,20.55,1252.0,20.524590163934427,0
6317-YPKDH,1,0,0,2,29.95,29.95,29.95,1
6582-OIVSP,1,1,0,1,45.3,45.3,45.3,0
9367-WXLCH,8,1,0,2,84.5,662.65,82.83125,1
5524-KHNJP,33,1,1,3,74.75,2453.3,74.34242424242424,0
1918-ZBFQJ,13,1,0,0,79.25,1111.65,85.51153846153846,1
1024-GUALD,1,0,0,0,24.8,24.8,24.8,1
4827-USJHP,20,1,0,1,51.8,1023.85,51.1925,0
8167-GJLRN,3,0,0,0,30.4,82.15,27.383333333333336,0
0956-SYCWG,13,1,1,0,19.65,244.8,18.83076923076923,0
8017-UVSZU,40,1,0,3,56.6,2379.1,59.4775,0
7100-FQPRV,43,1,1,3,71.9,3173.35,73.79883720930232,0
2472-OVKUP,6,1,0,0,91.0,531.0,88.5,1
2984-RGEYA,69,1,2,2,19.75,1375.4,19.933333333333334,0
9680-NIAUV,72,1,2,3,109.7,8129.3,112.90694444444445,0
2146-EGVDT,59,1,2,3,19.3,1192.7,20.215254237288136,0
2604-IJPDU,20,1,0,0,96.55,1901.65,95.08250000000001,0
9178-JHUVJ,24,1,2,2,24.1,587.4,24.474999999999998,0
6168-YBYNP,59,1,0,0,111.35,6519.75,110.5042372881356,0
7255-SSFBC,72,1,2,2,112.25,8041.65,111.68958333333333,0
3645-DEYGF,1,1,0,1,20.75,20.75,20.75,0
9323-HGFWY,27,1,1,3,101.9,2681.15,99.30185185185185,0
8544-GOQSH,14,1,0,3,80.05,1112.3,79.45,0
3363-DTIVD,71,1,2,0,105.55,7405.5,104.30281690140845,0
7018-WBJNK,13,1,0,3,78.3,1033.95,79.53461538461539,0
9142-KZXOP,44,1,0,3,68.85,2958.95,67.24886363636364,0
7674-YTAFD,33,1,1,2,79.95,2684.85,81.35909090909091,0
6348-SNFUS,72,0,2,3,55.45,4179.2,58.044444444444444,0
1285-OKIPP,1,1,0,0,79.9,79.9,79.9,1
7825-ECJRF,19,1,0,0,106.6,1934.45,101.81315789473685,1
1347-KTTTA,64,1,1,3,102.45,6654.1,103.9703125,0
7841-TZDMQ,2,1,0,3,46.0,84.5,42.25,1
4195-NZGTA,1,0,0,0,25.25,25.25,25.25,0
7157-SMCFK,61,1,2,1,19.75,1124.2,18.42950819672131,0
4709-LKHYG,29,1,1,0,20.0,540.05,18.622413793103448,0
2504-DSHIH,23,1,0,0,86.8,1975.85,85.90652173913043,0
0699-NDKJM,57,0,0,2,58.75,3437.45,60.30614035087719,0
9286-BHDQG,72,0,2,3,45.25,3139.8,43.608333333333334,0
0230-WEQUW,66,0,2,2,56.6,3789.2,57.41212121212121,0
2040-LDIWQ,65,1,2,2,84.2,5324.5,81.91538461538461,0
6496-JDSSB,8,1,0,2,80.0,624.6,78.075,0
9408-SSNVZ,4,1,0,0,70.15,268.35,67.0875,1
4443-EMBNA,71,1,2,2,24.75,1836.9,25.871830985915494,0
6469-MRVET,1,1,1,0,20.2,20.2,20.2,0
0742-MOABM,4,1,0,1,50.05,179.35,44.8375,1
5961-VUSRV,12,1,1,2,19.35,219.35,18.279166666666665,0
6778-JFCMK,24,0,1,1,50.6,1288.75,53.697916666666664,0
6341-JVQGF,31,1,1,1,81.15,2545.75,82.12096774193549,0
2232-DMLXU,1,1,0,1,55.2,55.2,55.2,1
4811-JBUVU,30,1,0,3,89.9,2723.15,90.77166666666668,0
0945-TSONX,47,1,2,3,85.3,4107.25,87.38829787234043,0
2651-ZCBXV,54,1,2,3,108.0,5760.65,106.6787037037037,0
3316-UWXUY,50,1,0,3,93.5,4747.5,94.95,0
8937-RDTHP,1,1,0,1,84.6,84.6,84.6,1
7083-MIOPC,72,1,2,3,20.25,1566.9,21.762500000000003,0
1984-GPTEH,29,1,0,0,25.15,702.0,24.20689655172414,0
1251-KRREG,2,1,0,1,54.4,114.1,57.05,1
0621-JFHOL,10,0,2,1,29.6,299.05,29.905,0
9903-LYSAB,18,1,0,0,73.15,1305.95,72.55277777777778,0
0094-OIFMO,11,1,0,0,95.0,1120.3,101.84545454545454,1
9227-UAQFT,16,1,2,1,19.75,284.35,17.771875,0
7301-ABVAD,72,1,2,2,86.6,6350.5,88.20138888888889,0
6614-FHDBO,72,1,2,2,109.2,7878.3,109.42083333333333,0
7576-ASEJU,41,1,1,3,74.7,3187.65,77.74756097560976,0
9058-HRZSV,65,1,0,0,94.4,6126.15,94.24846153846153,0
4522-AKYLR,13,1,0,0,54.8,731.3,56.25384615384615,0
0221-WMXNQ,4,1,0,0,75.35,273.4,68.35,0
0303-UNCIP,41,1,1,1,65.0,2531.8,61.75121951219513,0
9947-OTFQU,15,1,0,0,74.4,1074.3,71.61999999999999,1
0322-YINQP,1,1,0,1,48.55,48.55,48.55,1
0959-WHOKV,42,1,1,0,99.0,4298.45,102.34404761904761,0
4075-JFPGR,51,1,1,0,93.5,4619.55,90.57941176470588,0
4629-NRXKX,2,1,0,0,70.4,147.15,73.575,1
9514-JDSKI,1,0,0,0,40.2,40.2,40.2,1
3282-ZISZV,32,1,1,3,83.7,2633.3,82.290625,0
3675-YDUPJ,10,1,0,1,19.85,193.05,19.305,0
4111-BNXIF,67,0,2,0,59.55,4103.9,61.252238805970144,0
7017-VFHAY,61,1,2,3,115.1,7008.15,114.88770491803278,0
6655-LHBYW,50,1,1,3,114.35,5791.1,115.822,0
4959-JOSRX,2,1,0,3,44.6,80.55,40.275,1
5046-NUHWD,29,0,0,0,45.0,1228.65,42.36724137931035,0
7273-TEFQD,3,0,0,0,41.15,132.2,44.06666666666666,1
3606-TWKGI,13,1,0,0,106.9,1364.3,104.94615384615385,1
7529-ZDFXI,57,1,0,0,89.85,4925.35,86.40964912280702,0
7605-BDWDC,31,0,2,2,49.85,1520.1,49.03548387096774,0
1950-KSVVJ,45,1,1,1,113.3,5032.25,111.82777777777778,0
0123-CRBRT,61,1,2,1,88.1,5526.75,90.60245901639344,0
6292-TOSSS,50,1,2,2,24.9,1195.25,23.905,0
3197-ARFOY,19,1,0,1,105.0,2007.25,105.64473684210526,0
6323-AYBRX,59,1,2,1,19.35,1099.6,18.63728813559322,1
7014-ZZXAW,71,1,2,3,24.25,1732.95,24.40774647887324,0
4385-GZQXV,16,1,0,0,94.45,1511.2,94.45,1
7633-MVPUY,57,1,2,0,59.75,3450.15,60.52894736842106,0
6366-ZGQGL,1,0,0,2,24.8,24.8,24.8,1
4716-HHKQH,20,1,0,0,107.05,2172.05,108.6025,0
5940-AHUHD,1,1,0,1,70.6,70.6,70.6,1
6432-TWQLB,5,1,0,0,85.4,401.1,80.22,1
4484-GLZOU,52,1,0,0,105.05,5624.85,108.17019230769232,1
3179-GBRWV,21,1,0,2,64.95,1339.8,63.8,0
8645-KWHJO,14,0,0,0,55.0,771.95,55.13928571428572,0
4130-MZLCC,5,1,0,2,50.55,244.75,48.95,0
0314-TKOSI,6,1,0,1,55.15,322.9,53.81666666666666,0
8229-MYEJZ,10,1,0,0,51.2,498.25,49.825,0
2080-SRCDE,1,1,0,1,25.4,25.4,25.4,0
9577-WJVCQ,68,1,0,1,54.45,3687.75,54.231617647058826,0
9512-UIBFX,18,1,0,1,95.15,1779.95,98.88611111111112,1
6202-DYYFX,22,1,1,3,76.0,1783.6,81.07272727272726,0
3808-HFKDE,20,1,0,0,44.35,927.15,46.3575,0
5583-SXDAG,1,1,0,0,70.0,70.0,70.0,1
3488-PGMQJ,8,1,0,0,74.5,606.55,75.81875,1
3580-REOAC,10,1,0,3,44.85,435.4,43.54,1
7534-BFESC,24,1,0,0,76.1,1712.7,71.3625,1
3727-OWVYD,35,1,1,1,61.2,2021.2,57.74857142857143,0
2294-SALNE,23,1,1,1,86.8,1940.8,84.38260869565217,0
4847-TAJYI,6,1,0,0,89.35,567.8,94.63333333333333,0
1563-IWQEX,12,1,0,1,19.7,220.35,18.3625,0
8203-XJZRC,1,1,0,1,20.25,20.25,20.25,0
6556-DBKZF,71,1,2,0,76.05,5436.45,76.56971830985916,0
6851-WEFYX,35,1,0,0,100.8,3437.5,98.21428571428571,0
2985-JUUBZ,40,1,0,0,74.55,3015.75,75.39375,0
6390-DSAZX,1,1,0,1,73.6,73.6,73.6,1
0895-LMRSF,23,1,1,2,64.9,1509.8,65.64347826086956,0
8098-LLAZX,4,1,0,0,95.45,396.1,99.025,1
8266-VBFQL,4,1,0,0,90.4,356.65,89.1625,0
8181-YHCMF,68,0,2,3,60.3,4109.0,60.4264705882353,0
2240-HSJQD,38,1,0,1,81.85,3141.7,82.67631578947368,0
1248-DYXUB,52,1,2,1,24.8,1229.1,23.63653846153846,0
0265-EDXBD,32,1,0,0,74.9,2303.35,71.9796875,1
4115-BNPJY,29,1,2,1,75.55,2054.4,70.84137931034483,0
3167-SNQPL,38,1,0,0,101.15,3741.85,98.46973684210526,0
4091-TVOCN,48,1,1,3,78.75,3682.45,76.71770833333333,0
1098-TDVUQ,1,1,0,2,19.25,19.25,19.25,0
7277-OZCGZ,22,1,0,0,89.05,1886.25,85.73863636363636,0
1557-EMYVT,43,1,2,3,115.05,4895.1,113.83953488372094,0
2799-ARNLO,5,1,0,0,69.35,341.6,68.32000000000001,0
7563-BIUPC,5,1,0,0,80.6,415.55,83.11,1
5027-YOCXN,51,1,1,3,110.05,5686.4,111.49803921568626,0
3973-SKMLN,71,1,2,3,19.9,1355.1,19.085915492957746,0
2321-OMBXY,38,1,1,3,80.3,3058.65,80.49078947368422,1
2840-XANRC,24,1,0,0,93.15,2231.05,92.96041666666667,1
6745-JEFZB,35,1,0,3,91.5,3236.35,92.46714285714286,0
5020-ZSTTY,54,1,1,2,82.45,4350.1,80.55740740740741,1
9880-TDQAC,72,0,2,0,60.0,4264.0,59.22222222222222,0
8705-WZCYL,1,1,0,0,44.8,44.8,44.8,0
7102-JJVTX,9,1,1,1,48.6,422.3,46.922222222222224,0
8626-PTQGE,69,0,2,2,60.05,4176.7,60.53188405797101,0
4983-CLMLV,52,1,0,3,102.7,5138.1,98.8096153846154,0
5701-YVSVF,11,1,0,0,82.9,880.05,80.00454545454545,0
5804-LEPIM,2,1,0,0,70.35,139.05,69.525,1
5697-GOMBF,28,0,0,0,35.9,973.65,34.77321428571428,0
2739-CACDQ,17,1,0,3,82.65,1470.05,86.4735294117647,0
9385-EHGDO,35,1,2,1,19.85,739.35,21.124285714285715,0
9498-FIMXL,8,1,1,1,19.2,161.95,20.24375,0
2379-GYFLQ,46,1,1,3,94.9,4422.95,96.15108695652174,0
0122-OAHPZ,7,1,0,0,73.85,511.25,73.03571428571429,1
2868-SNELZ,2,1,0,1,80.6,155.8,77.9,1
4322-RCYMT,68,1,1,2,75.8,5293.95,77.85220588235293,1
6680-NENYN,43,1,2,0,104.6,4759.85,110.69418604651163,1
2088-IEBAU,68,1,2,0,88.15,6148.45,90.41838235294118,0
7982-VCELR,36,1,0,3,94.8,3565.65,99.04583333333333,0
1343-EHPYB,63,1,0,0,103.4,6603.0,104.80952380952381,1
6035-BXTTY,32,1,0,2,54.65,1830.1,57.190625,0
6885-PKOAM,71,1,2,3,85.75,6223.8,87.65915492957747,0
7520-HQWJU,66,1,0,2,67.45,4508.65,68.31287878787879,0
9639-BUJXT,63,1,1,1,20.5,1328.15,21.081746031746032,0
5924-SNGKP,41,1,1,3,20.25,865.0,21.097560975609756,0
0021-IKXGC,1,1,0,0,72.1,72.1,72.1,0
2034-GDRCN,2,1,0,0,90.4,168.2,84.1,1
8966-SNIZF,70,1,2,2,19.45,1303.5,18.62142857142857,0
6243-OZGFH,23,0,0,0,44.95,996.85,43.34130434782609,0
4654-DLAMQ,64,1,1,2,97.0,6430.9,100.4828125,0
0513-RBGPE,37,1,2,3,62.8,2278.75,61.58783783783784,0
5160-UXJED,17,1,1,1,44.6,681.4,40.08235294117647,0
4115-NZRKS,7,1,0,0,89.15,574.35,82.05,0
0219-YTZUE,4,1,0,2,84.8,371.9,92.975,1
0623-IIHUG,21,0,0,0,41.9,840.1,40.00476190476191,1
4572-DVCGN,10,1,0,2,80.25,846.0,84.6,1
3351-NGXYI,16,1,0,0,54.1,889.0,55.5625,0
8984-EYLLL,64,1,2,0,105.25,6823.4,106.615625,0
9057-MSWCO,27,0,0,3,30.75,805.1,29.81851851851852,1
9833-TGFHX,42,1,1,0,97.1,4016.75,95.63690476190476,0
9294-TDIPC,5,1,0,1,20.2,83.75,16.75,0
5229-DTFYB,41,1,2,2,98.8,3959.15,96.56463414634146,0
0104-PPXDV,58,1,1,3,50.3,2878.55,49.630172413793105,0
5176-LMJXE,47,1,2,1,20.55,945.7,20.121276595744682,0
3583-KRKMD,18,1,0,2,75.9,1373.05,76.28055555555555,0
1010-DIAUQ,5,1,0,2,96.5,492.55,98.51,1
9069-LGEUL,23,1,0,2,59.95,1406.0,61.130434782608695,0
7302-ZHMHP,1,1,0,1,19.15,19.15,19.15,0
9571-EDEBV,71,1,1,3,98.65,6962.85,98.06830985915494,0
3520-FJGCV,72,1,2,3,112.6,8126.65,112.87013888888889,0
6563-VRERX,33,1,1,1,20.6,690.25,20.916666666666668,0
0259-GBZSH,2,1,0,0,85.65,181.5,90.75,1
6122-EFVKN,24,0,2,1,35.75,830.8,34.61666666666667,0
2805-EDJPQ,56,1,1,3,99.75,5608.4,100.14999999999999,0
6862-CQUMB,37,1,0,3,96.1,3646.8,98.56216216216217,0
7156-MXBJE,43,1,1,3,85.1,3662.25,85.1686046511628,0
6158-HDPXZ,1,0,0,1,25.35,25.35,25.35,0
9601-BRXPO,25,1,0,2,104.95,2566.5,102.66,1
2863-IMQDR,61,1,2,0,89.65,5308.7,87.02786885245901,0
5686-CMAWK,17,1,1,0,86.75,1410.25,82.95588235294117,0
5651-CRHKQ,41,1,1,2,86.2,3339.05,81.44024390243902,0
6905-NIQIN,1,1,0,1,50.65,50.65,50.65,1
8204-YJCLA,72,0,2,2,64.8,4732.35,65.72708333333334,0
5167-ZFFMM,1,1,0,3,90.85,90.85,90.85,1
6583-SZVGP,48,1,2,2,108.1,5067.45,105.57187499999999,0
4895-TMWIR,11,1,0,1,19.95,214.75,19.522727272727273,1
0533-BNWKF,55,1,0,0,85.45,4874.7,88.63090909090909,1
1708-PBBOA,42,0,1,0,54.75,2348.45,55.915476190476184,0
8782-LKFPK,44,1,0,1,90.4,4063.0,92.3409090909091,0
5522-JBWMO,1,1,0,0,44.0,44.0,44.0,0
3597-MVHJT,27,1,0,2,95.6,2595.25,96.12037037037037,0
9774-NRNAU,27,1,0,2,84.8,2309.55,85.53888888888889,0
0224-RLWWD,2,1,0,0,44.3,89.3,44.65,0
9967-ATRFS,19,1,0,1,19.9,367.55,19.344736842105263,0
3951-NJCVI,42,1,0,0,95.05,3944.5,93.91666666666667,0
2977-CEBSX,66,1,2,3,90.05,5965.95,90.39318181818182,0
0177-PXBAT,33,1,0,2,109.9,3694.7,111.96060606060605,0
6599-CEBNN,34,1,0,3,73.95,2524.45,74.24852941176471,1
2519-ERQOJ,33,0,0,0,54.6,1803.7,54.657575757575756,0
5876-QMYLD,23,1,1,1,20.05,415.1,18.047826086956523,0
2277-AXSDC,32,1,1,2,19.75,624.15,19.5046875,0
9442-JTWDL,11,1,1,3,20.05,237.7,21.60909090909091,0
0979-PHULV,69,1,0,3,99.45,7007.6,101.55942028985508,1
